Iteration	Posterior	Likelihood	Prior	clado_fission_pr	clado_fusion_pr	clado_no_change_pr	clado_polyploid_pr	clado_type[1]	clado_type[2]	clado_type[3]	clado_type[4]	clado_type[5]	delta	gamma	rho
1040	-57.89931	-67.53501	9.635697	0.0007877185	0.01777404	0.1219923	0.167345	0.396209	0.00255837	0.0577268	0.543506	0	0.01227118	0.2168492	0.1112204
1050	-61.00189	-71.49075	10.48887	0.0008154528	0.03615873	0.162537	0.1149941	0.516802	0.00259281	0.11497	0.365635	0	0.01310261	0.05769794	0.1776168
1060	-63.82178	-72.11161	8.289833	0.001578073	0.03789724	0.245202	0.2706561	0.44154	0.00284167	0.0682423	0.487376	0	0.003015133	0.08042633	0.1440514
1070	-59.90289	-67.88569	7.982796	0.004553306	0.016828	0.1556389	0.1399593	0.491006	0.0143647	0.0530886	0.441541	0	0.006232719	0.3143548	0.1759629
1080	-59.38317	-69.31953	9.936363	0.007187857	0.01072496	0.07819763	0.1707891	0.292985	0.0269309	0.0401835	0.6399	0	0.004767283	0.2039481	0.1425583
1090	-58.07936	-69.02804	10.94868	0.002608751	0.008139009	0.08929972	0.07509838	0.509859	0.0148947	0.0464699	0.428776	0	0.005241429	0.1527772	0.183777
1100	-58.01524	-69.38912	11.37388	0.02032637	0.001877114	0.1054214	0.07611074	0.517442	0.0997684	0.00921348	0.373576	0	0.01390523	0.1088014	0.147979
1110	-59.12462	-69.53996	10.41534	0.01752314	0.001389288	0.2174779	0.07455575	0.699407	0.0563543	0.00446794	0.239771	0	0.0150047	0.1081204	0.1362047
1120	-58.27018	-69.1287	10.85851	0.02290192	0.002487599	0.1565118	0.08935911	0.57698	0.0844278	0.00917052	0.329422	0	0.04228129	0.1032568	0.1091596
1130	-56.25404	-67.85236	11.59833	0.01056958	0.004671995	0.04816895	0.05220117	0.416644	0.0914231	0.0404111	0.451522	0	0.05694923	0.2434458	0.03596994
1140	-56.95568	-69.21899	12.2633	0.006985092	0.003886615	0.0998752	0.07207606	0.546295	0.0382069	0.0212589	0.39424	0	0.03984935	0.1138379	0.04896899
1150	-59.75108	-66.73822	6.987141	0.02042876	0.004165223	0.1860228	0.3132234	0.355114	0.0389981	0.00795132	0.597937	0	0.05826344	0.3002607	0.0307311
1160	-57.20285	-67.51606	10.31321	0.02554832	0.001664508	0.1511241	0.1063645	0.530816	0.0897372	0.0058465	0.3736	0	0.02528965	0.2046051	0.0658923
1170	-61.3467	-72.28711	10.9404	0.03808567	0.01033785	0.04916111	0.04271855	0.350392	0.271453	0.0736822	0.304473	0	0.009975015	0.2372968	0.1301941
1180	-62.12205	-67.57842	5.456373	0.0502974	0.0070629	0.3167537	0.2881433	0.478294	0.0759484	0.0106649	0.435093	0	0.01205683	0.2514141	0.1404441
1190	-60.40895	-69.35047	8.941526	0.0619205	0.003809228	0.1441672	0.2277034	0.32945	0.1415	0.00870481	0.520346	0	0.02022484	0.1684418	0.09139008
1200	-58.60061	-67.37044	8.769835	0.02054689	0.005491181	0.2178487	0.114535	0.6078	0.057326	0.0153204	0.319554	0	0.01675182	0.287134	0.07251842
1210	-61.59821	-68.06107	6.462852	0.04377492	0.03014672	0.2260098	0.274251	0.39362	0.0762387	0.0525037	0.477637	0	0.01221743	0.291425	0.08769963
1220	-63.10636	-69.60945	6.503087	0.06514903	0.05743764	0.2864775	0.1780749	0.487921	0.11096	0.0978263	0.303293	0	0.07311991	0.145237	0.1560049
1230	-59.71259	-66.7845	7.07191	0.01670155	0.01450379	0.2963616	0.1870816	0.575852	0.0324524	0.0281819	0.363513	0	0.03044031	0.2224004	0.1371293
1240	-61.58273	-71.28793	9.705203	0.02799638	0.009642551	0.1647791	0.1901605	0.419735	0.0713141	0.0245621	0.484388	0	0.02099652	0.05547241	0.1722418
1250	-61.94624	-68.6381	6.691861	0.02685768	0.01659127	0.378024	0.09349109	0.734078	0.0521545	0.0322183	0.181549	0	0.07613398	0.0824589	0.2690666
1260	-61.91509	-69.84874	7.933655	0.02774074	0.02339852	0.1777862	0.03196598	0.681457	0.106331	0.0896868	0.122526	0	0.06356795	0.0962698	0.3977149
1270	-59.64618	-70.57066	10.92448	0.01554733	0.02560249	0.1317409	0.0549994	0.578089	0.0682229	0.112346	0.241342	0	0.02340706	0.07341133	0.1946536
1280	-62.94098	-70.00916	7.068177	0.04126128	0.01962634	0.3788098	0.2340715	0.562225	0.0612395	0.0291292	0.347406	0	0.01972188	0.08190859	0.1295924
1290	-63.92196	-68.144	4.222037	0.03153515	0.02767437	0.1943665	0.4551987	0.274229	0.0444925	0.0390454	0.642233	0	0.0285177	0.2930301	0.1592833
1300	-64.91234	-70.97085	6.058509	0.041404	0.08702631	0.2178405	0.1086808	0.478821	0.0910075	0.191287	0.238884	0	0.08861647	0.3679367	0.09445379
1310	-61.74363	-69.02258	7.278947	0.006219428	0.04572571	0.07776971	0.2528496	0.203285	0.0162572	0.119524	0.660933	0	0.04555168	0.392776	0.06302267
1320	-58.41375	-68.16143	9.74768	0.004797503	0.02941193	0.173974	0.1150008	0.538312	0.0148445	0.0910067	0.355837	0	0.06118723	0.2147273	0.0379428
1330	-56.68979	-67.08931	10.39952	0.006255043	0.0130547	0.1302698	0.1233117	0.477369	0.0229214	0.0478385	0.451871	0	0.04023543	0.2374481	0.02128273
